date,count,total
04/30/2018,2,386
05/01/2018,3,389
05/02/2018,5,394
05/03/2018,2,396
05/04/2018,2,398
05/05/2018,4,402
05/06/2018,4,406
05/07/2018,6,412
05/08/2018,4,416
05/09/2018,1,417
05/10/2018,2,419
05/11/2018,6,425
05/12/2018,1,426
05/13/2018,4,430
05/14/2018,6,436
05/15/2018,1,437
05/16/2018,1,438
05/17/2018,1,439
05/18/2018,3,442
05/19/2018,3,445
05/20/2018,1,446
05/21/2018,2,448
05/22/2018,1,449
05/23/2018,3,452
05/24/2018,2,454
05/25/2018,3,457
05/26/2018,1,458
05/27/2018,3,461
05/28/2018,1,462
05/29/2018,3,465
05/30/2018,2,467
05/31/2018,2,469
06/01/2018,3,472
06/02/2018,1,473
06/03/2018,3,476
06/04/2018,1,477
06/05/2018,2,479
06/06/2018,4,483
06/07/2018,4,487
06/08/2018,2,489
06/09/2018,2,491
06/10/2018,1,492
06/11/2018,2,494
06/12/2018,4,498
06/13/2018,3,501
06/14/2018,7,508
06/15/2018,1,509
06/16/2018,5,514
06/17/2018,2,516
06/19/2018,4,520
06/20/2018,3,523
06/22/2018,5,528
06/23/2018,7,535
06/25/2018,4,539
06/27/2018,1,540
06/29/2018,9,549
07/01/2018,4,553
07/03/2018,4,557
07/04/2018,3,560
07/05/2018,5,565
07/06/2018,2,567
07/07/2018,4,571
07/08/2018,3,574
07/10/2018,3,577
07/11/2018,3,580
07/13/2018,2,582
07/14/2018,2,584
07/15/2018,3,587
07/17/2018,4,591
07/18/2018,3,594
07/19/2018,2,596
07/20/2018,5,601
07/21/2018,5,606
07/22/2018,4,610
07/23/2018,3,613
07/24/2018,3,616
07/25/2018,5,621
07/26/2018,7,628
07/27/2018,2,630
07/28/2018,4,634
07/29/2018,1,635
07/30/2018,1,636
07/31/2018,2,638
08/01/2018,4,642
08/02/2018,2,644
08/03/2018,4,648
08/04/2018,2,650
08/05/2018,4,654
08/06/2018,3,657
08/07/2018,4,661
08/08/2018,4,665
08/09/2018,4,669
08/10/2018,1,670
08/11/2018,1,671
08/12/2018,3,674
08/13/2018,4,678
08/14/2018,1,679
08/16/2018,2,681
08/17/2018,1,682
08/18/2018,3,685
08/19/2018,4,689
08/20/2018,2,691
08/23/2018,2,693
08/24/2018,3,696
08/25/2018,3,699
08/26/2018,1,700
08/27/2018,3,703
08/28/2018,2,705
08/29/2018,2,707
08/30/2018,2,709
08/31/2018,3,712
09/01/2018,1,713
09/03/2018,3,716
09/04/2018,1,717
09/05/2018,3,720
09/06/2018,1,721
09/07/2018,1,722
09/08/2018,1,723
09/09/2018,3,726
09/10/2018,1,727
09/11/2018,1,728
09/12/2018,2,730
09/13/2018,1,731
09/14/2018,3,734
09/15/2018,2,736
09/16/2018,4,740
09/17/2018,3,743
09/18/2018,2,745
09/20/2018,2,747
09/22/2018,1,748
09/23/2018,1,749
09/24/2018,4,753
09/25/2018,2,755
09/26/2018,1,756
09/27/2018,5,761
09/28/2018,1,762
